1329 iシェアーズ・コア 日経225ETF,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225
-60.0,-40.0,-50.0
-70.0,-20.0,-90.0
-30.0,-20.0,-30.0
-70.0,20.0,-30.0
640.0,250.0,600.0
50.0,-40.0,50.0
-40.0,-30.0,-60.0
-20.0,20.0,0.0
70.0,60.0,80.0
50.0,10.0,40.0
200.0,80.0,200.0
-420.0,-120.0,-420.0
220.0,150.0,230.0
-100.0,-70.0,-120.0
-50.0,-30.0,-50.0
90.0,0.0,120.0
90.0,100.0,70.0
180.0,50.0,160.0
70.0,60.0,80.0
-90.0,10.0,-110.0
-190.0,-90.0,-140.0
-100.0,0.0,-130.0
100.0,30.0,110.0
150.0,10.0,130.0
-160.0,-40.0,-150.0
-210.0,-110.0,-190.0
190.0,70.0,170.0
-50.0,0.0,-20.0
80.0,20.0,70.0
10.0,50.0,10.0
10.0,-30.0,20.0
460.0,220.0,420.0
-80.0,40.0,-90.0
90.0,20.0,90.0
-130.0,30.0,-110.0
110.0,120.0,90.0
60.0,0.0,80.0
40.0,40.0,30.0
100.0,90.0,110.0
110.0,50.0,110.0
50.0,70.0,60.0
50.0,-40.0,20.0
10.0,-30.0,30.0
250.0,90.0,230.0
450.0,210.0,440.0
230.0,140.0,260.0
90.0,-20.0,90.0
-150.0,-20.0,-190.0
240.0,80.0,260.0
-30.0,80.0,-80.0
60.0,20.0,80.0
-430.0,-320.0,-420.0
-140.0,70.0,-130.0
180.0,40.0,160.0
-130.0,-80.0,-100.0
-10.0,-80.0,-80.0
0.0,70.0,80.0
-90.0,0.0,-110.0
60.0,-20.0,40.0
-20.0,-40.0,10.0
110.0,110.0,100.0
-50.0,50.0,-40.0
10.0,-30.0,0.0
230.0,150.0,230.0
200.0,140.0,180.0
200.0,200.0,210.0
80.0,40.0,80.0
140.0,160.0,140.0
60.0,-60.0,30.0
450.0,230.0,460.0
50.0,0.0,20.0
0.0,50.0,20.0
-100.0,-50.0,-90.0
270.0,170.0,280.0
-10.0,20.0,-30.0
40.0,-10.0,10.0
160.0,130.0,230.0
-440.0,-200.0,-470.0
80.0,50.0,100.0
10.0,10.0,-20.0
-40.0,-50.0,-50.0
100.0,60.0,90.0
140.0,60.0,150.0
50.0,-130.0,50.0
-260.0,50.0,-270.0
200.0,70.0,220.0
-250.0,-150.0,-240.0
80.0,-260.0,60.0
-160.0,40.0,90.0
-80.0,120.0,-60.0
-180.0,40.0,-130.0
-320.0,-300.0,-370.0
-450.0,-550.0,-420.0
-20.0,210.0,-30.0
-190.0,90.0,-150.0
120.0,-170.0,130.0
-60.0,30.0,-70.0
-140.0,280.0,-140.0
90.0,-190.0,80.0
60.0,250.0,40.0
260.0,-150.0,250.0
-90.0,-130.0,-70.0
450.0,-40.0,440.0
-460.0,40.0,-440.0
-70.0,-10.0,-70.0
-130.0,-50.0,-130.0
20.0,-70.0,30.0
80.0,-20.0,90.0
20.0,30.0,0.0
30.0,10.0,20.0
-190.0,320.0,-200.0
30.0,-70.0,40.0
